Item Details	Unit	Op. Qty.	Qty. In	Qty. Out	Cl. Qty.
6 IN 1 SEEDS 150g JAR  150/-	Pcs.	0.00	60.00	31.00	29.00
BAJRA FLAKES 250 55/-	Pcs.	0.00	10.00	10.00	0.00
BAJRA FLOUR 500 40/-	Pcs.	0.00	222.00	221.00	1.00
BAJRA FLOUR 500 42/-	Pcs.	0.00	120.00	118.00	2.00
BARLEY FLAKES 250 65/-	Pcs.	0.00	10.00	10.00	0.00
BARLEY POWDER 100  50/-	Pcs.	0.00	164.00	136.00	28.00
BARLEY POWDES 200 95/-	Pcs.	0.00	101.00	65.00	36.00
BARNAYARD  MILLET  PONGALMIX 123/-	Pcs.	0.00	26.00	15.00	11.00
BARNAYARD MILLET IDLY RAVA 500  105/-	Pcs.	0.00	23.00	22.00	1.00
BARNYARD FLAKES 250 85/-	Pcs.	0.00	10.00	10.00	0.00
BARNYARD MILLET 500 90/-	Pcs.	0.00	155.00	138.00	17.00
BARNYARD RAVA 500 110/-	Pcs.	0.00	21.00	11.00	10.00
BATH POWDER R 69/-	Pcs.	0.00	10.00	7.00	3.00
BATH POWDER S 100   90/-	Pcs.	0.00	5.00	5.00	0.00
BLACK RICE 500 100/-	Pcs.	0.00	5.00	3.00	2.00
BLACK RICE FLAKES 250 95/-	Pcs.	0.00	10.00	10.00	0.00
BLACK SALT 200 24/-	Pcs.	0.00	254.00	246.00	8.00
BROKEN WHEAT 500 46/-	Pcs.	0.00	171.00	138.00	33.00
BROWN TOP MILLET IDLY RAVA 500 140/-	Pcs.	0.00	13.00	13.00	0.00
BROWNTOP MILLET 500 125/-	Pcs.	0.00	70.00	61.00	9.00
BROWNTOP MILLET RAVA 500 145/-	Pcs.	0.00	3.00	3.00	0.00
CHAIA 100 45/-	Pcs.	0.00	27.00	25.00	2.00
CHIA 100   50/-	Pcs.	0.00	330.00	282.00	48.00
FLAX SEEDS SR 100  40/-	Pcs.	0.00	47.00	46.00	1.00
FOXTAIL FLAKES 250 85/-	Pcs.	0.00	10.00	10.00	0.00
FOXTAIL MILLET 500 60/-	Pcs.	0.00	227.00	204.00	23.00
FOXTAIL MILLET IDLY RAVA 500 75/-	Pcs.	0.00	127.00	109.00	18.00
FOXTAIL MILLET PONGAL MIX 250G 123/-	Pcs.	0.00	49.00	42.00	7.00
FOXTAIL MILLET RAVA 80/-	Pcs.	0.00	48.00	40.00	8.00
G R BROWNTOP MILLET PONGAL MIX 250 123/-	Pcs.	0.00	11.00	10.00	1.00
G R JOWAR MILLET KICHIDI 250G 123/-	Pcs.	0.00	50.00	33.00	17.00
G R KODO MILLET PONGAL MIX 250/- 123/-	Pcs.	0.00	37.00	27.00	10.00
G R LITTLE MILLET PONGAL MIX 250 123/-	Pcs.	0.00	37.00	27.00	10.00
GRAPE SQUASH 700 Ml  142/-	Pcs.	0.00	220.00	147.00	73.00
HEALTHMIX 200 123/-	Pcs.	0.00	131.00	96.00	35.00
HEALTHMIX 500 240/-	Pcs.	0.00	154.00	153.00	1.00
HING 20gm Gold 42/-	Pcs.	0.00	120.00	115.00	5.00
HING 50gm gold  78/-	Pcs.	0.00	100.00	99.00	1.00
HORSEGRAM FLAKES 250 80/-	Pcs.	0.00	2.00	2.00	0.00
JAGGER P KG 114/-	Pcs.	0.00	594.00	595.00	-1.00
JAGGER P KG 117/-	Pcs.	0.00	780.00	754.00	26.00
JAGGERY  P 500 60/-	Pcs.	0.00	406.00	405.00	1.00
JAGGERY P 500 63/-	Pcs.	0.00	510.00	475.00	35.00
JOHAR RAVA SMALL 500 75/-	Pcs.	0.00	3.00	0.00	3.00
JOWAR FLAKES 250 70/-	Pcs.	0.00	38.00	34.00	4.00
JOWAR FLOUR 500 35/-	Pcs.	0.00	516.00	514.00	2.00
JOWAR FLOUR 500 40/-	Pcs.	0.00	240.00	240.00	0.00
JOWAR FLOUR 500 42/-	Pcs.	0.00	210.00	209.00	1.00
JOWAR FLOUR 500 50/-	Pcs.	0.00	150.00	90.00	60.00
JOWAR MILLET IDLY RAVA 500 72/-	Pcs.	0.00	171.00	152.00	19.00
JOWAR RAVA 500 69/-	Pcs.	0.00	335.00	302.00	33.00
KALONUI 100 60/-	Pcs.	0.00	197.00	172.00	25.00
KODO FLAKES 250 85/-	Pcs.	0.00	11.00	9.00	2.00
KODO MILLET 500 78/-	Pcs.	0.00	240.00	238.00	2.00
KODO MILLET IDLY RAVA 500 90/-	Pcs.	0.00	58.00	48.00	10.00
KODO RAVA 500 95/-	Pcs.	0.00	25.00	22.00	3.00
Layina Dates 250g 144/-	Pcs.	0.00	504.00	469.00	35.00
Layina Dates 250g 149/-	Pcs.	0.00	1404.00	907.00	497.00
Layina Dates 250g 150/-	Pcs.	0.00	36.00	0.00	36.00
Layina Dates 500g (1+1) 272/-	Pcs.	0.00	920.00	875.00	45.00
Layina Dates 500g (1+1) 282/-	Pcs.	0.00	400.00	215.00	185.00
Layina Dates 500g (1+1) 284/-	Pcs.	0.00	120.00	0.00	120.00
Lion  Dates Syrup 500g 206/-	Pcs.	0.00	72.00	60.00	12.00
Lion Arabian  Deseeded Dates 500g C 178/	Pcs.	0.00	45.00	45.00	0.00
Lion Arabian  Deseeded Dates 500g C 199/	Pcs.	0.00	45.00	15.00	30.00
Lion Arabian Dates 250g  (1+1) 129/-	Pcs.	0.00	4608.00	4605.00	3.00
Lion Arabian Dates 250g (1+1) 120/-	Pcs.	540.00	3024.00	3024.00	540.00
Lion Arabian Dates 250g (1+1) 128/-	Pcs.	363.00	2124.00	2487.00	0.00
Lion Arabian Dates 250g (1+1) 144/-	Pcs.	0.00	2952.00	2956.00	-4.00
Lion Arabian Dates 500g (1+1)  226/-	Pcs.	0.00	2720.00	2720.00	0.00
Lion Arabian Dates 500g (1+1)  272/-	Pcs.	0.00	2420.00	2434.00	-14.00
Lion Arabian Dates 500g (1+1) 240/-	Pcs.	678.00	1580.00	1858.00	400.00
Lion Arabian Dates 500g (1+1) 242/-	Pcs.	0.00	4060.00	4060.00	0.00
Lion Buman  Dates 500g (1+1) 219/-	Pcs.	27.00	24.00	50.00	1.00
Lion Buman  Dates 500g (1+1) 250/-	Pcs.	0.00	24.00	24.00	0.00
Lion Buman  Dates 500g (1+1) 260/-	Pcs.	0.00	48.00	27.00	21.00
Lion Buman  Dates 500g (1+1) 267/-	Pcs.	0.00	24.00	24.00	0.00
Lion Choco Dates With Almond 130g	Pcs.	0.00	32.00	31.00	1.00
Lion Choco Dates With Almond 130g 89/-	Pcs.	0.00	32.00	32.00	0.00
Lion Choco Dates With Almond 150g 100/-	Pcs.	0.00	128.00	128.00	0.00
Lion Cornflakes 250g+150 Free 100/-	Pcs.	1.00	0.00	0.00	1.00
Lion Cornflakes 250g+150 Free 109/-	Pcs.	21.00	0.00	6.00	15.00
Lion Datenuts Bites 120g 150/-	Pcs.	0.00	96.00	63.00	33.00
Lion Datenuts Bites 200g 250/-	Pcs.	0.00	20.00	0.00	20.00
Lion Datenuts Bites 240g 300/-	Pcs.	0.00	20.00	17.00	3.00
Lion Datenuts Bites 280g 350/-	Pcs.	0.00	18.00	18.00	0.00
Lion Datenuts Bites 368g 400/-	Pcs.	0.00	90.00	91.00	-1.00
Lion Datenuts Bites 368g 400/- (1+1)	Pcs.	0.00	171.00	144.00	27.00
Lion Dates Juice With Mango 150ml 25/-	Pcs.	5.00	0.00	0.00	5.00
Lion Dates Juice With Orange 150ml 30/-	Pcs.	3.00	0.00	0.00	3.00
Lion Dates Nuts Bites 50/-	Pcs.	36.00	0.00	0.00	36.00
Lion Dates Powder 500 Jar 305/-	Pcs.	0.00	20.00	19.00	1.00
Lion Dates Powder 500 Jar 324/-	Pcs.	0.00	20.00	20.00	0.00
Lion Dates Syrup  500g  220/-	Pcs.	50.00	144.00	193.00	1.00
Lion Dates Syrup 1kg 390/-	Pcs.	5.00	0.00	3.00	2.00
Lion Dates Syrup 250g 107/-	Pcs.	0.00	150.00	132.00	18.00
Lion Dates Syrup 250g 115/-	Pcs.	18.00	144.00	162.00	0.00
